Sentences,Type,Polarity
Uma ótima opção para quem leva uma vida saudável e quer matar aquela vontade de comer um sanduba mega gorduroso.,1,1
Simplesmente amo!,1,1
Sempre peço o de carne com os diversos itens que podem ser escolhidos.,0,0
"Os sucos também são maravilhosos e adoçados com mel, amo o de limão, laranja e abacaxi.",1,1
O pedido sai em menos de 5 minutos e o preço é justo.,1,0
"O tendimento não é dos melhores, mas o sabor e o preço do mistão especial do mar foi excelente.",1,0
Pretendo voltar outras vezes.,0,0
o prato serviu 4 adultos muito bem.,0,0
Estava uma delícia.,1,1
atendentes precisam de melhor treinamento.,1,-1
"Comida,atendimento  e preço excelentes!",1,1
"O melhor que visitamos na cidade, vale super a pena conhecer e experimentar a cerne do cheff",1,1
Fomos comemorar aniversário de casamento.,0,0
"Levamos nosso filho, pois tem opção infantil super gostosa.",0,0
Os garçons foram super simpáticos e atenciosos.,1,1
E a responsável pelas reservas foi super solícita com as surpresas que meu marido quis fazer!,1,1
Adoramos a comida e o ambiente!,1,1
"Pra quem gosta de pizza de rúcula e tomate seco com LAGARTA, boa sorte...

Fui ao restaurante, pedi uma pizza de rúcula com tomate e seco.",1,-1
"Até ai, tudo bem.",0,0
Só não sabia que ela também viria com um tempero bem especial: uma LAGARTA!,1,-1
Em geral guardo a nota máxima para lugares realmente destacados.,0,0
"Voltei ao local depois de ficar encantado com um nhoque com carne de panela, e mais uma vez provei algo superior, almondega gigante com castanha e ervas.",1,1
Uma bela experiência,1,1
"Petisco muito bom ,com aquela gelada junto com os amigos pra conversar .sempre que posso dou uma passadinha lá",1,1
Melhor massa que já comi.,1,1
Mereceo prêmio.,1,1
Falta uma massa básica com molho de tomate freaco no cardápio.,1,-1
A massa recheada é dez.,1,1
Um cabelo de anjo ou um assa recheada com queijo seria bom.,1,0
Melhor burrata com tomatinho.,1,1
"Com uma sofisticação rara de se encontrar no Méier, o Bobô se destaca por sua gastronomia peculiar.",1,1
"O preço, infelizmente, não fica atrás.",1,-1
"Típico para eventos especiais ou um aquele final de semana, o restaurante reúne um bom ambiente interno.",1,1
"Externamente, é preciso atenção para, no horário do almoço, não ficar muito exposto ao sol.",0,0
A boa então fica com os combos de mini sanduíches.,1,1
"Também recomendo as promoções de domingo (em particular, a feijoada é a melhor relação custo-benefício).",1,1
"Enfim, tem tudo para dar certo por ser um bom restaurante.",0,0
Só não abuse ou seu bolso reclamará.,0,0
Comida muito bem feita e muito boa.,1,1
Ambiente agradável.,1,1
Frutos do mar muito bem servidos.,1,1
Risotos maravilhosos.,1,1
Pena a carta de vinhos.,1,-1
Valores absurdos muito acima da média.,1,-1
"Ótimo ambiente, e comida preparada no capricho.",1,1
"Destaque negativo para o atendimento que presenciamos tentar levar os novos clientes ao pior lugar do restaurante (de canto, ao lado de onde armazenam comidas) e para a cobrança de 12% de serviço.",1,-1
Massa fresca deliciosa com bons ingredientes.,1,1
Frutos do mar frescos.,1,0
Aspecto negativo apenas o preço dos vinhos.,1,0
"muito bem servido, prato para 2, preço razoavel, musica ao vivo, logico tem couvert artistico, a noite dependendo do dia da semana tem show de stand up, da pra divertir comendo m camarão",1,1
"Um rodizio de caldos classicos  de Minas, feijao, verde, mandioca, canjiquinha e canjica.",0,0
A caneca de chopp muito gelada e com chopp escuro.,1,1
Otima pedida de fim de trabalho a noite.,1,1
"Culinária local, com outras opções, fogão a lenha, sobremesas caseiras.",0,0
Preço bem interessante.,1,1
Bom atendimento.,1,1
"O restaurante é simples, mas com boa comida e preço justo.",1,1
Porções bem servidas e o pão de alho é um dos melhores que já comi.,1,1
Também gosto muito do caranguejo.,1,1
"Os drinks são incríveis, principalmente os com gin.",1,1
